client_ref,order_id,duration,deadline,known_difficult,created_on,last_modified_on,created_on_time,deadline_period,order_weekday,order_hours
87b7b7094b-c9aef37071c2-1604022514106806348,NA,303.8699999999999,1604065714,0,1604022515,1604022515,2020-10-30T01:48:35Z,12,Fri,1
9793357e26-4182eaab1805-1604020729554286375,NA,149.76999999999998,1604063930,0,1604020730,1604020730,2020-10-30T01:18:50Z,12,Fri,1
9793357e26-4182eaab1805-1604019078643499676,NA,302.46000000000004,1604065879,0,1604019080,1604019080,2020-10-30T00:51:20Z,13,Fri,0
9793357e26-4182eaab1805-1604019076090653141,NA,304.37000000000035,1604065876,0,1604019077,1604019077,2020-10-30T00:51:17Z,13,Fri,0
9793357e26-4182eaab1805-1604019076476671139,NA,298.67999999999984,1604065876,0,1604019077,1604019077,2020-10-30T00:51:17Z,13,Fri,0
9793357e26-4182eaab1805-1604019059920511450,PO16040190616692752,304.02,1604065860,0,1604019061,1604019061,2020-10-30T00:51:01Z,13,Fri,0
9793357e26-4182eaab1805-1604019031674164968,PO1604019032928915,295.1999999999998,1604065831,0,1604019032,1604019032,2020-10-30T00:50:32Z,13,Fri,0
9793357e26-4182eaab1805-1604019024974245005,PO16040190261589902,278.39,1604065825,0,1604019026,1604019026,2020-10-30T00:50:26Z,13,Fri,0
9793357e26-4182eaab1805-1604019023273460631,PO16040190248816871,301.61,1604065823,0,1604019024,1604019024,2020-10-30T00:50:24Z,13,Fri,0
9793357e26-4182eaab1805-1604019021973533552,PO16040190233891485,294,1604065822,0,1604019023,1604019023,2020-10-30T00:50:23Z,13,Fri,0
9793357e26-4182eaab1805-1604019020613772759,PO16040190224705328,308.8800000000001,1604065821,0,1604019022,1604019022,2020-10-30T00:50:22Z,13,Fri,0
9793357e26-4182eaab1805-1604018997302888809,PO16040189983341236,300.3299999999999,1604065797,0,1604018998,1604018998,2020-10-30T00:49:58Z,13,Fri,0
9793357e26-4182eaab1805-1604018990141000575,PO1604018992497517,289.94000000000005,1604065791,0,1604018992,1604018992,2020-10-30T00:49:52Z,13,Fri,0
9793357e26-4182eaab1805-1604018990779687236,PO16040189916818142,300.52999999999975,1604065790,0,1604018991,1604018991,2020-10-30T00:49:51Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018863799776466,PO16040188649114977,297.90999999999985,1604065663,0,1604018864,1604018864,2020-10-30T00:47:44Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018848130516489,PO16040188495329324,300.21000000000004,1604065648,0,1604018849,1604018849,2020-10-30T00:47:29Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018847976691896,PO16040188495981163,299.4699999999998,1604065648,0,1604018849,1604018849,2020-10-30T00:47:29Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018847156368173,PO16040188485655339,298.0400000000002,1604065647,0,1604018848,1604018848,2020-10-30T00:47:28Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018845765892860,PO16040188468646646,303.97000000000025,1604065645,0,1604018846,1604018846,2020-10-30T00:47:26Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018835365415015,PO16040188368354381,302.56500000000005,1604065635,0,1604018836,1604018836,2020-10-30T00:47:16Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018831816519067,NA,286.895,1604065632,0,1604018833,1604018833,2020-10-30T00:47:13Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018829945554987,NA,302.5799999999999,1604065630,0,1604018831,1604018831,2020-10-30T00:47:11Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018830876489337,NA,305.06999999999994,1604065631,0,1604018831,1604018831,2020-10-30T00:47:11Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018821454519860,NA,298.5,1604065621,0,1604018822,1604018822,2020-10-30T00:47:02Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018812282181314,NA,293.75,1604065612,0,1604018813,1604018813,2020-10-30T00:46:53Z,13,Fri,0
b1daeb8453-fdc1dd8505f8-1604018797692734136,NA,148.71000000000004,1604065598,0,1604018798,1604018798,2020-10-30T00:46:38Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017784116985160,NA,303.28999999999996,1604064584,0,1604017785,1604017785,2020-10-30T00:29:45Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017769210202985,NA,297.2600000000002,1604064569,0,1604017771,1604017771,2020-10-30T00:29:31Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017736124278474,NA,303.40999999999985,1604064536,0,1604017737,1604017737,2020-10-30T00:28:57Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017733971610102,NA,301.75,1604064534,0,1604017735,1604017735,2020-10-30T00:28:55Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017710621655437,NA,313.03999999999996,1604064511,0,1604017711,1604017711,2020-10-30T00:28:31Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017709462022649,NA,303.38,1604064509,0,1604017710,1604017710,2020-10-30T00:28:30Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017703057588620,NA,301.65500000000003,1604064503,0,1604017704,1604017704,2020-10-30T00:28:24Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017702757152945,NA,296.1400000000001,1604064503,0,1604017703,1604017703,2020-10-30T00:28:23Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017692119716796,NA,298.84000000000003,1604064493,0,1604017694,1604017694,2020-10-30T00:28:14Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017692151928544,NA,299.335,1604064493,0,1604017694,1604017694,2020-10-30T00:28:14Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017687770652941,NA,302.1100000000001,1604064487,0,1604017688,1604017688,2020-10-30T00:28:08Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017643612164641,NA,305.15999999999985,1604064443,0,1604017644,1604017644,2020-10-30T00:27:24Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017639703077329,NA,301.6899999999998,1604064439,0,1604017643,1604017643,2020-10-30T00:27:23Z,13,Fri,0
6f568f9f02-2d9ab6a0c353-1604017611333719831,NA,75.38999999999987,1604064411,0,1604017612,1604017612,2020-10-30T00:26:52Z,13,Fri,0
249ac1c22c-9527637c382b-1604017585301343502,NA,300.32000000000005,1604064385,0,1604017586,1604017586,2020-10-30T00:26:26Z,13,Fri,0
249ac1c22c-9527637c382b-1604017582027338389,NA,299.62,1604064382,0,1604017583,1604017583,2020-10-30T00:26:23Z,13,Fri,0
249ac1c22c-9527637c382b-1604017556808353866,NA,272.89999999999986,1604064357,0,1604017557,1604017557,2020-10-30T00:25:57Z,13,Fri,0
249ac1c22c-9527637c382b-1604017536684065163,NA,293.26,1604064337,0,1604017539,1604017539,2020-10-30T00:25:39Z,13,Fri,0
249ac1c22c-9527637c382b-1604017533895024075,NA,300.9,1604064335,0,1604017536,1604017536,2020-10-30T00:25:36Z,13,Fri,0
249ac1c22c-9527637c382b-1604017533854862700,NA,298.11,1604064334,0,1604017535,1604017535,2020-10-30T00:25:35Z,13,Fri,0
87e6c1b514-ef1ac3ab40de-1604016051810462277,NA,269.69000000000005,1604066452,0,1604016053,1604016053,2020-10-30T00:00:53Z,14,Fri,0
87e6c1b514-ef1ac3ab40de-1604016035968502039,NA,301.58000000000004,1604066436,0,1604016037,1604016037,2020-10-30T00:00:37Z,14,Fri,0
87e6c1b514-ef1ac3ab40de-1604016026035871307,NA,297.6399999999999,1604066426,0,1604016027,1604016027,2020-10-30T00:00:27Z,14,Fri,0
87e6c1b514-ef1ac3ab40de-1604015985872147770,NA,298.6800000000003,1604066386,0,1604015987,1604015987,2020-10-29T23:59:47Z,14,Thu,23
87e6c1b514-ef1ac3ab40de-1604015978616702590,NA,301.3799999999999,1604066380,0,1604015981,1604015981,2020-10-29T23:59:41Z,14,Thu,23
87e6c1b514-ef1ac3ab40de-1604015971473698913,NA,296.78999999999985,1604066372,0,1604015972,1604015972,2020-10-29T23:59:32Z,14,Thu,23
87e6c1b514-ef1ac3ab40de-1604015946984891740,NA,288.775,1604066347,0,1604015948,1604015948,2020-10-29T23:59:08Z,14,Thu,23
87e6c1b514-ef1ac3ab40de-1604015931645476254,NA,297.8900000000001,1604066332,0,1604015933,1604015933,2020-10-29T23:58:53Z,14,Thu,23
87e6c1b514-ef1ac3ab40de-1604015929649786253,NA,300.21500000000003,1604066330,0,1604015931,1604015931,2020-10-29T23:58:51Z,14,Thu,23
87e6c1b514-ef1ac3ab40de-1604015913715607515,NA,298.8700000000001,1604066313,0,1604015914,1604015914,2020-10-29T23:58:34Z,14,Thu,23
156589aba6-d5278476fbd1-1604015645232680742,NA,219.94000000000005,1604066045,0,1604015646,1604015646,2020-10-29T23:54:06Z,14,Thu,23
156589aba6-d5278476fbd1-1604015636748491791,NA,306.55,1604066036,0,1604015638,1604015638,2020-10-29T23:53:58Z,14,Thu,23
156589aba6-d5278476fbd1-1604015578912249053,NA,298.39000000000004,1604065979,0,1604015580,1604015580,2020-10-29T23:53:00Z,14,Thu,23
156589aba6-d5278476fbd1-1604015545794884649,NA,306.02999999999975,1604065946,0,1604015547,1604015547,2020-10-29T23:52:27Z,14,Thu,23
156589aba6-d5278476fbd1-1604015539888072411,NA,300.17999999999984,1604065940,0,1604015541,1604015541,2020-10-29T23:52:21Z,14,Thu,23
156589aba6-d5278476fbd1-1604015537352353631,NA,310.28999999999996,1604065937,0,1604015538,1604015538,2020-10-29T23:52:18Z,14,Thu,23
156589aba6-d5278476fbd1-1604015531032935906,NA,302,1604065934,0,1604015535,1604015535,2020-10-29T23:52:15Z,14,Thu,23
156589aba6-d5278476fbd1-1604015530546483746,NA,308.3700000000001,1604065931,0,1604015532,1604015532,2020-10-29T23:52:12Z,14,Thu,23
156589aba6-d5278476fbd1-1604015529098788561,NA,314.0800000000004,1604065930,0,1604015531,1604015531,2020-10-29T23:52:11Z,14,Thu,23
156589aba6-d5278476fbd1-1604015527933343855,NA,300.76,1604065928,0,1604015528,1604015528,2020-10-29T23:52:08Z,14,Thu,23
156589aba6-d5278476fbd1-1604015524151103148,NA,295.96000000000004,1604065925,0,1604015526,1604015526,2020-10-29T23:52:06Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604015024946414214,NA,301.5700000000006,1604065425,0,1604015026,1604015026,2020-10-29T23:43:46Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604015000999236051,NA,300.25,1604065401,0,1604015002,1604015002,2020-10-29T23:43:22Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014938582230666,NA,300.8299999999999,1604065340,0,1604014941,1604014941,2020-10-29T23:42:21Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014932500201066,NA,295.6199999999999,1604065333,0,1604014934,1604014934,2020-10-29T23:42:14Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014930657846918,NA,294.8299999999999,1604065331,0,1604014932,1604014932,2020-10-29T23:42:12Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014927124972038,NA,304.21000000000004,1604065327,0,1604014928,1604014928,2020-10-29T23:42:08Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014899545385093,NA,303.53999999999996,1604065299,0,1604014900,1604014900,2020-10-29T23:41:40Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014872304369469,NA,302.6400000000003,1604065273,0,1604014874,1604014874,2020-10-29T23:41:14Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014862200742134,NA,304.1100000000001,1604065262,0,1604014864,1604014864,2020-10-29T23:41:04Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014838398978598,NA,301.0500000000002,1604065239,0,1604014843,1604014843,2020-10-29T23:40:43Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014836915089478,NA,299.05999999999995,1604065237,0,1604014838,1604014838,2020-10-29T23:40:38Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014826636163319,NA,278.3699999999999,1604065228,0,1604014829,1604014829,2020-10-29T23:40:29Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014825147999480,NA,298.96000000000004,1604065226,0,1604014828,1604014828,2020-10-29T23:40:28Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014821903542736,NA,298.48,1604065222,0,1604014823,1604014823,2020-10-29T23:40:23Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014817430283405,NA,299.6099999999997,1604065217,0,1604014818,1604014818,2020-10-29T23:40:18Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014814107025449,NA,298.0699999999997,1604065214,0,1604014815,1604014815,2020-10-29T23:40:15Z,14,Thu,23
4400066059-436e1933-1604014813548578045,NA,301.88,1604065213,0,1604014814,1604014814,2020-10-29T23:40:14Z,14,Thu,23
b7aa9d3a62-e6cbcbb6-1604014801953505383,NA,297.75,1604065202,0,1604014803,1604014803,2020-10-29T23:40:03Z,14,Thu,23
